2025-04-07;2025-05-07;The Beatles;Vinyle;Adam.DeJour@rochefourchat.com
2025-04-09;2025-05-09;Abbey Road;Vinyle;Ahmed.Halord@rochefourchat.com
2025-04-29;2025-05-29;Hotel California;Vinyle;Bonnie.Dé@rochefourchat.com
2025-05-01;2025-05-31;Their Greatest Hits (1971-1975);Vinyle;Bonnie.Dé@rochefourchat.com
2025-05-07;2025-06-06;The Wall;Vinyle;Claire.Voyant@rochefourchat.com
2025-05-11;2025-06-10;The Best of David Bowie;Vinyle;Debbie.Lemental@rochefourchat.com
2025-05-21;2025-07-20;Born in the U.S.A.;Vinyle;Théodore.Toir@rochefourchat.com
2025-06-08;2025-08-07;The Chronic;Vinyle;Gérard.Mensoif@rochefourchat.com
2025-06-20;2025-07-20;Hybrid Theory;Vinyle;Henriette.Coupee@rochefourchat.com
2025-07-02;2025-08-01;The Very Best of Prince;Vinyle;Lorie.Fils@rochefourchat.com
2025-07-08;2025-08-07;The Very Best of Prince;Vinyle;Aude.Javel@rochefourchat.com
2025-07-14;2025-09-15;The Very Best of Prince;Vinyle;Jerry.Kanne@rochefourchat.com
2025-07-16;2025-09-17;The Eminem Show;Vinyle;Jerry.Kanne@rochefourchat.com
