25/03/24;25/04/23;Eddy.Fiant@rochefourchat.com;Le Tour du monde en quatre-vingts jours
25/03/26;25/04/25;Sandy.Kilo@rochefourchat.com;Les Contes de la bécasse
25/03/28;25/04/27;Alain.Proviste@rochefourchat.com;Le Portrait de Dorian Gray
25/03/30;25/04/29;Aude.Javel@rochefourchat.com;Le Meilleur des mondes
25/04/01;25/05/01;Abel.Lémir@rochefourchat.com;Le Petit Prince
25/04/03;25/05/03;Adam.Labrosse@rochefourchat.com;1984
25/05/27;25/07/26;Renée.Sens@rochefourchat.com;Le Grand Bleu
25/06/04;25/08/03;John.Deuf@rochefourchat.com;Le Silence des agneaux
25/06/12;25/07/12;Sandy.Kilo@rochefourchat.com;Le Roi Lion
25/06/14;25/07/14;Sandy.Kilo@rochefourchat.com;Forrest Gump
25/06/16;25/07/16;Jacques.Houche@rochefourchat.com;Titanic
25/06/18;25/07/18;Jerry.Kanne@rochefourchat.com;Gladiator
25/06/30;25/07/30;Jacques.Houche@rochefourchat.com;Le Voyage de Chihiro
25/07/04;25/08/03;Lorie.Fils@rochefourchat.com;Le Fabuleux Destin d'Amélie Poulain
25/07/06;25/08/05;Aude.Javel@rochefourchat.com;Le Voyage de Chihiro
25/07/10;25/08/09;Jacques.Houche@rochefourchat.com;Le Fabuleux Destin d'Amélie Poulain
25/07/18;25/09/19;Bonnie.Dé@rochefourchat.com;Le Pianiste
25/08/07;25/09/06;Lorie.Fils@rochefourchat.com;La Reine des neiges
25/08/13;25/09/12;Sarah.Vigote@rochefourchat.com;Le Roi Lion
25/04/07;25/05/07;Adam.De Jour@rochefourchat.com;The Beatles
25/04/09;25/05/09;Ahmed.Halord@rochefourchat.com;Abbey Road
25/04/29;25/05/29;Bonnie.Dé@rochefourchat.com;Hotel California
25/05/01;25/05/31;Bonnie.Dé@rochefourchat.com;Their Greatest Hits (1971-1975)
25/05/07;25/06/06;Claire.Voyant@rochefourchat.com;The Wall
25/05/11;25/06/10;Debbie.Lemental@rochefourchat.com;The Best of David Bowie
25/05/21;25/07/20;Théodore.Toir@rochefourchat.com;Born in the U.S.A.
25/06/08;25/08/07;Gérard.Mensoif@rochefourchat.com;The Chronic
25/06/20;25/07/20;Henriette.Coupee@rochefourchat.com;Hybrid Theory
25/07/02;25/08/01;Lorie.Fils@rochefourchat.com;The Very Best of Prince
25/07/08;25/08/07;Aude.Javel@rochefourchat.com;The Very Best of Prince
25/07/14;25/09/15;Jerry.Kanne@rochefourchat.com;The Very Best of Prince
25/07/16;25/09/17;Jerry.Kanne@rochefourchat.com;The Eminem Show
